data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 1 - PRA Multiplicity : 2 - Max angle PRA : 127.759 - Max Angle Fit : 52.1131 - Q value       : 4.0825 - Track points : 157
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 3 - PRA Multiplicity : 2 - Max angle PRA : 121.969 - Max Angle Fit : 57.8557 - Q value       : 3.59982 - Track points : 171
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 5 - PRA Multiplicity : 2 - Max angle PRA : 126.117 - Max Angle Fit : 53.9542 - Q value       : 3.54994 - Track points : 159
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 7 - PRA Multiplicity : 2 - Max angle PRA : 123.333 - Max Angle Fit : 56.6014 - Q value       : 3.94597 - Track points : 159
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 9 - PRA Multiplicity : 2 - Max angle PRA : 122.523 - Max Angle Fit : 57.4394 - Q value       : 3.47807 - Track points : 161
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 11 - PRA Multiplicity : 3 - Max angle PRA : 116.513 - Max Angle Fit : 63.1397 - Q value       : 3.29474 - Track points : 134
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 13 - PRA Multiplicity : 2 - Max angle PRA : 127.356 - Max Angle Fit : 52.681 - Q value       : 4.00621 - Track points : 139
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 15 - PRA Multiplicity : 2 - Max angle PRA : 128.797 - Max Angle Fit : 51.1966 - Q value       : 3.85878 - Track points : 161
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 17 - PRA Multiplicity : 2 - Max angle PRA : 132.577 - Max Angle Fit : 47.4179 - Q value       : 3.54485 - Track points : 155
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 19 - PRA Multiplicity : 2 - Max angle PRA : 131.752 - Max Angle Fit : 48.2272 - Q value       : 3.60457 - Track points : 166
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 21 - PRA Multiplicity : 2 - Max angle PRA : 125.588 - Max Angle Fit : 54.5012 - Q value       : 3.63034 - Track points : 165
data_sim_0_0/fit_analysis__sim_run_sim_0_0_12300_12400.root - Event : 23 - PRA Multiplicity : 2 - Max angle PRA : 121.886 - Max Angle Fit : 58.0154 - Q value       : 3.40047 - Track points : 177
